,COUNTYFP,NAME,full_area,34kt Winds,34kt_pct,50kt Winds,50kt_pct,64kt Winds,64kt_pct,total_premium,indemnity_amount,net_planted_quantity,pcp,PlantedAcres,TotalAcres
56,003,Baker,0.14303268881850137,0.14303268881850134,99.99999999999997,0.14303268881850134,99.99999999999997,0.0,0.0,0.0,0.0,0.0,13.69,4403.56,5713.56
57,043,Glades,0.23233914497049943,0.2323391449704993,99.99999999999994,0.2323391449704993,99.99999999999994,0.2323391449704993,99.99999999999994,74093.0,1342361.0,3922.64,17.01,118937.61000000002,119462.66000000002
58,103,Pinellas,0.07796569837270291,0.07796569837270292,100.00000000000003,0.07796569837270292,100.00000000000003,0.07796569837270292,100.00000000000003,0.0,0.0,0.0,19.76,0.0,0.0
59,085,Martin,0.15983957305702448,0.15983957305702465,100.00000000000011,0.15983957305702465,100.00000000000011,0.01043291429882244,6.5271159696481345,91472.0,459039.0,445.4,19.65,77490.83000000002,91966.56000000001
60,091,Okaloosa,0.24255004094799792,0.2425500409479979,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.82,19264.140000000003,19264.140000000003
61,017,Citrus,0.15813326326260627,0.1581332632626062,99.99999999999997,0.1581332632626062,99.99999999999997,0.13103147523586856,82.86142493516324,1354.0,108112.0,0.0,17.37,11475.97,12037.89
62,083,Marion,0.3995440456410004,0.39954404564100066,100.00000000000007,0.39954404564100066,100.00000000000007,0.011369907692524796,2.845720720048203,123402.76,503619.9,2261.1766666666,18.28,25150.81,25260.97
63,125,Union,0.06052186292450013,0.06052186292449997,99.99999999999973,0.06052186292449997,99.99999999999973,0.0,0.0,0.0,0.0,0.0,13.57,6059.5599999999995,6647.389999999999
64,117,Seminole,0.08259988752649992,0.08259988752649995,100.00000000000004,0.08259988752649995,100.00000000000004,0.0,0.0,17665.0,78884.0,55.3,19.25,7478.39,7478.39
65,,Dade_Monroe,0.3947996639029818,0.39479966390298127,99.99999999999986,0.39479966390298127,99.99999999999986,0.30453545189507014,80.40826703078255,4736629.75,40110328.0,430.325,16.705,13864.789999999995,13871.259999999995
