,STATEFP,COUNTYFP,NAME,full_area,34kt Winds,34kt_pct,50kt Winds,50kt_pct,64kt Winds,64kt_pct,total_premium,indemnity_amount,net_planted_quantity,liability,net_determined_quantity,pcp,PlantedAcres
27,12,057,Hillsborough,0.2575102270865995,0.2575102270865991,99.99999999999984,0.2575102270865991,99.99999999999984,0.1456515366541778,56.56145711261241,64851.0,387252.0,755.7,1548633.0,755.7,29.09,39183.97999999999
28,12,089,Nassau,0.1632495371913367,0.16324953719133653,99.9999999999999,0.16324953719133653,99.9999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.98,7875.79
29,12,075,Levy,0.27831703270274954,0.27831703270274927,99.9999999999999,0.27831703270274927,99.9999999999999,0.0,0.0,66150.45999999999,468800.65,1520.493,919370.6000000001,1523.868,29.68,62900.48
30,12,045,Gulf,0.13802462990672557,0.13802462990672557,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.77,215.69
31,12,105,Polk,0.47748581200300116,0.47748581200300083,99.99999999999993,0.47748581200300083,99.99999999999993,0.2364952338608253,49.52926933446534,1004012.5,9769025.1,21721.47,28346699.5,21725.370000000003,27.31,119883.35399999996
32,12,121,Suwannee,0.167954577478105,0.16795457747810502,100.00000000000003,0.16795457747810502,100.00000000000003,0.0,0.0,9117.65,161468.0,542.34,192878.1,542.34,21.49,59614.17999999999
33,12,029,Dixie,0.1736957376908112,0.1736957376908114,100.00000000000011,0.1736957376908114,100.00000000000011,0.0,0.0,2887.0,21168.0,64.7,42282.0,64.7,29.1,8728.789999999999
34,12,007,Bradford,0.07272962541500008,0.07272962541500008,100.0,0.07272962541500008,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.19,2567.3799999999997
35,12,115,Sarasota,0.14283416025758894,0.1428341602575892,100.00000000000017,0.1428341602575892,100.00000000000017,0.10239085527700478,71.68513126856476,10314.0,151831.0,173.7,307285.0,173.7,35.52,7937.04
36,12,035,Flagler,0.12222640003007233,0.12222640003007226,99.99999999999994,0.12222640003007226,99.99999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.08,7357.189999999999
37,12,059,Holmes,0.11946854923790093,0.1194685492379009,99.99999999999997,0.0,0.0,0.0,0.0,453.0,640.8,4.8,1555.2,4.8,16.52,65133.48999999998
38,12,087,Monroe,0.3195458953230693,0.31954589532306893,99.99999999999987,0.31954589532306893,99.99999999999987,0.3087346380755384,96.61668091946528,0.0,0.0,0.0,0.0,0.0,23.69,13864.789999999995
39,12,109,St. Johns,0.16291823601979205,0.16291823601979186,99.99999999999987,0.16291823601979186,99.99999999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.36,10326.800000000003
40,12,111,St. Lucie,0.14449412166798026,0.14449412166798029,100.00000000000003,0.14449412166798029,100.00000000000003,0.0,0.0,1104005.7000000002,10575314.95,12907.235999999999,28752575.119999997,12906.444,28.27,79034.74000000002
41,12,031,Duval,0.206391166830025,0.20639116683002534,100.00000000000016,0.20639116683002534,100.00000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.55,5739.170000000001
42,12,119,Sumter,0.13869983603600053,0.13869983603600014,99.99999999999972,0.13869983603600014,99.99999999999972,0.07115270929143339,51.29977895068686,1841.0,2883.0,28.9,12513.0,28.9,26.31,92312.83999999998
43,12,099,Palm Beach,0.5227469644306868,0.5227469644306867,99.99999999999997,0.5227469644306867,99.99999999999997,0.12046146466630527,23.043933846176884,906322.0,4691722.0,0.0,17018228.0,0.0,21.9,307695.29
44,12,067,Lafayette,0.1326461156775003,0.13264611567750034,100.00000000000004,0.13264611567750034,100.00000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.58,50599.29
45,12,019,Clay,0.15580966100700014,0.1558096610069998,99.99999999999979,0.1558096610069998,99.99999999999979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.76,3031.79
46,12,049,Hardee,0.15095559922449978,0.15095559922449978,100.0,0.15095559922449978,100.0,0.1379798595668502,91.40426739762584,602329.0,4891059.75,11527.797199999999,14482715.5,11527.4972,32.01,76515.49000000002
47,12,001,Alachua,0.23386180094799977,0.23386180094800024,100.0000000000002,0.23386180094800024,100.0000000000002,0.0,0.0,8473.0,21478.0,123.13,59092.0,123.13,29.63,39828.700000000004
48,12,027,DeSoto,0.15070484222499958,0.15070484222499964,100.00000000000004,0.15070484222499964,100.00000000000004,0.15070484222499964,100.00000000000004,1105337.4,11190500.6,26207.915,34055934.7,26207.915,33.54,80193.66999999998
49,12,061,Indian River,0.12801943625264178,0.12801943625264178,100.0,0.12801943625264178,100.0,0.0,0.0,1596147.8,18101739.2,16149.146,32434768.7,16149.146,27.47,32253.560000000005
50,12,021,Collier,0.4917642033414839,0.49176420334148346,99.99999999999991,0.49176420334148346,99.99999999999991,0.49176420334148346,99.99999999999991,859954.9999999999,11345158.0,22150.9100000001,29807357.0,22162.61,36.27,11973.820000000002
