GEOID,hurricane_id,area_34kt,count_34kt_intersects,area_50kt,count_50kt_intersects,area_64kt,count_64kt_intersects,area_cat1,count_cat1_intersects,area_cat2,count_cat2_intersects,area_cat3,count_cat3_intersects,area_cat4,count_cat4_intersects,hurricane_category
39109,AL182012,0.9999999999999999,3,,,,,,,,,,,,,TS
39111,AL182012,1.0000000000000009,4,,,,,,,,,,,,,TS
39113,AL182012,1.0,2,,,,,,,,,,,,,TS
39115,AL182012,1.0000000000000004,3,,,,,,,,,,,,,TS
39117,AL182012,0.9999999999999999,4,,,,,,,,,,,,,TS
39119,AL182012,1.0000000000000002,4,0.42458284462594775,1.0,,,,,,,,,,,TS
39121,AL182012,0.9999999999999997,4,,,,,,,,,,,,,TS
39123,AL182012,0.9999999999999991,5,,,,,,,,,,,,,TS
39125,AL182012,1.0000000000000004,5,,,,,,,,,,,,,TS
39127,AL182012,0.9999999999999998,4,,,,,,,,,,,,,TS
39129,AL182012,0.9943293464526238,2,,,,,,,,,,,,,TS
39133,AL182012,1.0,7,1.0,1.0,,,,,,,,,,,TS
39135,AL182012,1.0,2,,,,,,,,,,,,,TS
39137,AL182012,0.9999999999999993,5,,,,,,,,,,,,,TS
39139,AL182012,0.9999999999999996,7,,,,,,,,,,,,,TS
39141,AL182012,0.09669988034131952,1,,,,,,,,,,,,,TS
39143,AL182012,1.0000000000000002,5,,,,,,,,,,,,,TS
39147,AL182012,0.9999999999999998,5,,,,,,,,,,,,,TS
39149,AL182012,1.0,4,,,,,,,,,,,,,TS
39151,AL182012,1.0000000000000002,6,1.0000000000000002,1.0,,,,,,,,,,,TS
39153,AL182012,1.0000000000000009,7,1.0000000000000009,1.0,,,,,,,,,,,TS
39155,AL182012,1.0000000000000002,8,1.0000000000000002,1.0,,,,,,,,,,,TS
39157,AL182012,0.9999999999999991,6,0.9999999999999991,1.0,,,,,,,,,,,TS
39159,AL182012,1.0000000000000004,3,,,,,,,,,,,,,TS
39161,AL182012,1.0000000000000004,5,,,,,,,,,,,,,TS
39163,AL182012,0.8573087286980969,2,,,,,,,,,,,,,TS
39165,AL182012,0.6221678281346771,1,,,,,,,,,,,,,TS
39167,AL182012,0.9999999999999996,3,,,,,,,,,,,,,TS
39169,AL182012,0.9999999999999993,6,0.8826813213973854,1.0,,,,,,,,,,,TS
39171,AL182012,1.0000000000000002,5,,,,,,,,,,,,,TS
39173,AL182012,1.0000000000000002,5,,,,,,,,,,,,,TS
39175,AL182012,1.0,5,,,,,,,,,,,,,TS
42001,AL182012,0.999999999999999,7,,,,,,,,,,,,,TS
42003,AL182012,0.9999999999999999,7,0.9999999999999999,1.0,,,,,,,,,,,TS
42005,AL182012,1.0,7,1.0,1.0,,,,,,,,,,,TS
42007,AL182012,1.0,7,1.0,1.0,,,,,,,,,,,TS
42009,AL182012,1.0000000000000007,7,0.3638768127444976,1.0,,,,,,,,,,,TS
42011,AL182012,0.9999999999999998,7,0.916633093357674,2.0,,,,,,,,,,,TS
42013,AL182012,1.0000000000000004,7,1.0000000000000004,1.0,,,,,,,,,,,TS
42015,AL182012,1.0000000000000004,6,0.07529208334465813,1.0,,,,,,,,,,,TS
42017,AL182012,0.9999999999999982,7,0.9999999999999982,5.0,,,,,,,,,,,TS
42019,AL182012,0.9999999999999997,8,0.9999999999999997,1.0,,,,,,,,,,,TS
42021,AL182012,1.0,7,1.0,1.0,,,,,,,,,,,TS
42023,AL182012,1.0000000000000002,6,1.0000000000000002,1.0,,,,,,,,,,,TS
42025,AL182012,1.0000000000000002,6,1.0000000000000002,2.0,,,,,,,,,,,TS
42027,AL182012,0.9999999999999993,6,0.5598511601575713,1.0,,,,,,,,,,,TS
42029,AL182012,0.9999999999999999,7,0.9999999999999999,2.0,,,,,,,,,,,TS
42031,AL182012,0.9999999999999992,7,0.9999999999999992,1.0,,,,,,,,,,,TS
42033,AL182012,0.9999999999999993,6,0.9999999999999993,1.0,,,,,,,,,,,TS
42035,AL182012,1.000000000000001,6,0.2625093436327531,1.0,,,,,,,,,,,TS
42037,AL182012,0.9999999999999993,6,,,,,,,,,,,,,TS
42039,AL182012,1.0000000000000004,8,1.0000000000000004,1.0,,,,,,,,,,,TS
42041,AL182012,0.9999999999999991,7,,,,,,,,,,,,,TS
42043,AL182012,1.0000000000000007,7,0.004303007182513324,1.0,,,,,,,,,,,TS
42045,AL182012,0.9999999999999994,7,0.9999999999999994,3.0,,,,,,,,,,,TS
42047,AL182012,1.0000000000000002,7,1.0000000000000002,1.0,,,,,,,,,,,TS
42049,AL182012,0.9999999999999996,8,0.9999999999999996,1.0,,,,,,,,,,,TS
42051,AL182012,0.9999999999999994,6,0.16840456290699757,1.0,,,,,,,,,,,TS
42053,AL182012,0.9999999999999991,7,0.9999999999999991,1.0,,,,,,,,,,,TS
42055,AL182012,1.0000000000000002,7,0.005525244674548,1.0,,,,,,,,,,,TS
42057,AL182012,1.0000000000000002,7,0.0764866386100552,1.0,,,,,,,,,,,TS
42059,AL182012,0.9999999999999994,6,,,,,,,,,,,,,TS
42061,AL182012,0.9999999999999994,7,0.9069372034903705,1.0,,,,,,,,,,,TS
42063,AL182012,1.0000000000000007,7,1.0000000000000007,1.0,,,,,,,,,,,TS
42065,AL182012,1.0000000000000002,7,1.0000000000000002,1.0,,,,,,,,,,,TS
42067,AL182012,1.0,7,,,,,,,,,,,,,TS
42069,AL182012,1.0000000000000002,6,1.0000000000000002,1.0,,,,,,,,,,,TS
42071,AL182012,1.0000000000000016,7,0.9831186487836973,2.0,,,,,,,,,,,TS
42073,AL182012,0.9999999999999999,8,0.9999999999999999,1.0,,,,,,,,,,,TS
42075,AL182012,1.0000000000000002,7,0.38867673586708673,1.0,,,,,,,,,,,TS
42077,AL182012,1.0000000000000002,6,1.0000000000000002,2.0,,,,,,,,,,,TS
42079,AL182012,1.0000000000000009,6,0.8804996115300222,1.0,,,,,,,,,,,TS
42081,AL182012,0.9999999999999997,6,,,,,,,,,,,,,TS
42083,AL182012,1.0,7,1.0,1.0,,,,,,,,,,,TS
42085,AL182012,0.9999999999999994,8,0.9999999999999994,1.0,,,,,,,,,,,TS
42087,AL182012,1.0000000000000007,6,0.10372009250513149,1.0,,,,,,,,,,,TS
42089,AL182012,0.9999999999999996,6,0.9999999999999996,2.0,,,,,,,,,,,TS
42091,AL182012,1.0000000000000002,7,1.0000000000000002,3.0,,,,,,,,,,,TS
42093,AL182012,1.0000000000000002,6,,,,,,,,,,,,,TS
42095,AL182012,1.0000000000000004,6,1.0000000000000004,2.0,,,,,,,,,,,TS
42097,AL182012,1.0,6,,,,,,,,,,,,,TS
42099,AL182012,0.9999999999999992,7,,,,,,,,,,,,,TS
42101,AL182012,0.9999999999999998,7,0.9999999999999998,4.0,,,,,,,,,,,TS
42103,AL182012,0.9999999999999998,6,0.9999999999999998,2.0,,,,,,,,,,,TS
42105,AL182012,0.9999999999999998,6,0.6628164788191502,1.0,,,,,,,,,,,TS
42107,AL182012,1.0000000000000007,6,0.4855318170455979,1.0,,,,,,,,,,,TS
42109,AL182012,1.0000000000000009,6,,,,,,,,,,,,,TS
42111,AL182012,1.000000000000001,7,0.31166931287417204,1.0,,,,,,,,,,,TS
42113,AL182012,0.9999999999999998,6,,,,,,,,,,,,,TS
42115,AL182012,1.0000000000000004,6,1.0000000000000004,1.0,,,,,,,,,,,TS
42117,AL182012,0.9999999999999998,6,,,,,,,,,,,,,TS
42119,AL182012,0.9999999999999997,6,,,,,,,,,,,,,TS
42121,AL182012,1.0,8,1.0,1.0,,,,,,,,,,,TS
42123,AL182012,1.0000000000000004,7,1.0000000000000004,1.0,,,,,,,,,,,TS
42125,AL182012,0.9999999999999983,7,0.9214392860112287,1.0,,,,,,,,,,,TS
42127,AL182012,0.9999999999999996,6,0.9999999999999996,1.0,,,,,,,,,,,TS
42129,AL182012,1.0000000000000009,7,0.9978821766925846,1.0,,,,,,,,,,,TS
42131,AL182012,1.0000000000000004,6,0.9199964581997706,1.0,,,,,,,,,,,TS
42133,AL182012,0.9999999999999997,7,0.39879442223046807,2.0,,,,,,,,,,,TS
44001,AL182012,1.0,6,,,,,,,,,,,,,TS
44003,AL182012,1.0000000000000002,6,0.2113937905012636,2.0,,,,,,,,,,,TS
44005,AL182012,0.999999999999999,6,0.02918102379143194,1.0,,,,,,,,,,,TS
44007,AL182012,0.9999999999999998,6,2.447352162682281e-05,1.0,,,,,,,,,,,TS
44009,AL182012,0.9999999999999997,7,0.8869041458102527,2.0,,,,,,,,,,,TS
45051,AL182012,0.2715198707423922,1,,,,,,,,,,,,,TS
50001,AL182012,0.9999999999999993,6,,,,,,,,,,,,,TS
50003,AL182012,1.0,6,,,,,,,,,,,,,TS
50005,AL182012,0.9999999999999999,6,,,,,,,,,,,,,TS
50007,AL182012,0.9999999999999997,6,,,,,,,,,,,,,TS
50009,AL182012,1.0000000000000013,6,,,,,,,,,,,,,TS
50011,AL182012,1.0000000000000004,6,,,,,,,,,,,,,TS
50013,AL182012,0.9999999999999998,6,,,,,,,,,,,,,TS
50015,AL182012,0.9999999999999996,6,,,,,,,,,,,,,TS
50017,AL182012,0.9999999999999996,6,,,,,,,,,,,,,TS
50019,AL182012,0.9999999999999998,6,,,,,,,,,,,,,TS
50021,AL182012,1.0000000000000029,6,,,,,,,,,,,,,TS
50023,AL182012,1.0000000000000004,6,,,,,,,,,,,,,TS
50025,AL182012,1.0,6,,,,,,,,,,,,,TS
50027,AL182012,0.999999999999999,6,,,,,,,,,,,,,TS
51001,AL182012,0.9999999999999997,8,0.9999999999999997,3.0,0.5654406269304602,1.0,0.5654406269304602,1.0,,,,,,,cat1
51003,AL182012,0.9999999999999996,5,,,,,,,,,,,,,TS
51005,AL182012,1.0000000000000002,4,,,,,,,,,,,,,TS
51007,AL182012,0.9999999999999986,6,,,,,,,,,,,,,TS
51009,AL182012,1.0000000000000002,5,,,,,,,,,,,,,TS
51011,AL182012,1.0000000000000002,5,,,,,,,,,,,,,TS
51013,AL182012,1.0000000000000002,7,,,,,,,,,,,,,TS
51015,AL182012,1.0000000000000016,5,,,,,,,,,,,,,TS
51017,AL182012,0.9999999999999998,4,,,,,,,,,,,,,TS
51019,AL182012,1.0000000000000007,4,,,,,,,,,,,,,TS
51023,AL182012,1.0000000000000013,4,,,,,,,,,,,,,TS
51025,AL182012,0.9999999999999997,6,,,,,,,,,,,,,TS
51029,AL182012,0.9999999999999989,5,,,,,,,,,,,,,TS
51031,AL182012,1.000000000000001,5,,,,,,,,,,,,,TS
51033,AL182012,0.9999999999999994,7,0.23664496803833962,1.0,,,,,,,,,,,TS
51035,AL182012,0.14975159511104325,2,,,,,,,,,,,,,TS
51036,AL182012,0.9999999999999994,7,0.3365078296616461,1.0,,,,,,,,,,,TS
51037,AL182012,1.0000000000000004,5,,,,,,,,,,,,,TS
51041,AL182012,1.000000000000001,6,,,,,,,,,,,,,TS
51043,AL182012,1.0,6,,,,,,,,,,,,,TS
51045,AL182012,1.000000000000001,3,,,,,,,,,,,,,TS
51047,AL182012,0.9999999999999983,7,,,,,,,,,,,,,TS
51049,AL182012,1.0000000000000002,5,,,,,,,,,,,,,TS
51053,AL182012,1.0000000000000007,6,,,,,,,,,,,,,TS
51057,AL182012,1.0000000000000007,7,1.0000000000000007,1.0,,,,,,,,,,,TS
51059,AL182012,0.9999999999999998,7,0.1328515480446423,1.0,,,,,,,,,,,TS
51061,AL182012,0.9999999999999996,7,,,,,,,,,,,,,TS
51063,AL182012,1.0000000000000009,3,,,,,,,,,,,,,TS
51065,AL182012,0.9999999999999997,5,,,,,,,,,,,,,TS
51067,AL182012,1.0000000000000002,4,,,,,,,,,,,,,TS
51069,AL182012,1.0000000000000007,6,,,,,,,,,,,,,TS
51071,AL182012,0.6936891570563498,3,,,,,,,,,,,,,TS
51073,AL182012,0.9999999999999996,7,0.9999999999999996,2.0,,,,,,,,,,,TS
51075,AL182012,1.0000000000000016,7,,,,,,,,,,,,,TS
51079,AL182012,1.0000000000000002,6,,,,,,,,,,,,,TS
51081,AL182012,1.0000000000000004,7,,,,,,,,,,,,,TS
51083,AL182012,1.0000000000000002,5,,,,,,,,,,,,,TS
51085,AL182012,1.0000000000000009,7,0.004072810004772924,1.0,,,,,,,,,,,TS
51087,AL182012,1.000000000000002,7,,,,,,,,,,,,,TS
51089,AL182012,0.999999999999999,4,,,,,,,,,,,,,TS
51091,AL182012,0.9999999999999989,4,,,,,,,,,,,,,TS
51093,AL182012,0.9999999999999999,6,0.5463624155376192,1.0,,,,,,,,,,,TS
51095,AL182012,1.0000000000000004,7,1.0000000000000004,1.0,,,,,,,,,,,TS
51097,AL182012,0.9999999999999987,7,0.9999999999999987,1.0,,,,,,,,,,,TS
51099,AL182012,0.9999999999999991,7,0.9208314247124614,1.0,,,,,,,,,,,TS
